SSBSECT_SUBJ_CODE,SSBSECT_CRSE_NUMB,SSBSECT_TERM_CODE,SSBSECT_CRN,SSRATTR_TERM_CODE,SSRATTR_CRN,SSRATTR_ATTR_CODE,SSRATTR_ACTIVITY_DATE
CRE,102,202110,10819,202110,10819,MOIE,2020/11/05
CRE,102,202110,10819,202110,10819,RMOT,2020/11/08
CRE,103,202110,10864,202110,10864,MOIE,2020/11/09
CRE,103,202110,10864,202110,10864,RMOT,2020/11/09
CRE,103,202110,10865,202110,10865,MOIE,2020/11/09
CRE,103,202110,10865,202110,10865,RMOT,2020/11/09
CRE,165,202110,10370,202110,10370,A5,2020/02/24
CRE,165,202110,10370,202110,10370,MOIA,2020/02/24
CRE,165,202110,10681,202110,10681,A5,2020/11/02
CRE,165,202110,10681,202110,10681,MOIA,2020/11/02
CRE,165,202110,10681,202110,10681,SDP,2020/11/02
CRE,209,202110,10659,202110,10659,A4,2020/10/30
CRE,209,202110,10659,202110,10659,MOIB,2020/10/30
CRE,209,202110,10659,202110,10659,RMOT,2020/11/02
CRE,209,202110,10659,202110,10659,W,2020/10/30
CRE,210,202110,10686,202110,10686,ASPA,2020/11/02
CRE,210,202110,10686,202110,10686,MOIE,2020/11/02
