Dept,#,Sec,Term Part,CRN,TITLE,Approval Required,Cross Listed,Max Enroll,Actual Enroll,Faculty,Credits,Days1,Time1,Loc1,Days2,Time2,Loc2,Days3,Time3,Loc3,Notes
BIO,330L,2,1,10181,MICROBIOLOGY LAB,,,9,0,Sardha Suriyapperuma,0,T F,1200-1315,NLH 201,,-,,,-,,.
BIO,336,1,1,10182,NEUROBIOLOGY OF DISEASE,,Y,18,0,Joseph Schroeder,4,W,1345-1645,REMOTE,,-,,,-,,.
BIO,493G,1,1,10184,MOLECULAR EVOLUTION,,,16,0,Phillip Barnes,4,W,1345-1645,,,-,,,-,,.
BOT,114,1,1,10288,CC: BOTANY AND CLIMATE CHANGE,,,16,0,Pamela Hine,4,M W,1015-1130,REMOTE,,-,,,-,,.
BOT,114L,1,1,10297,PLANTS AND A CHANGING CLIMATE,,,8,0,Pamela Hine,0,M,1345-1645,NLH 112,,-,,,-,,.
BOT,114L,2,1,10301,PLANTS AND A CHANGING CLIMATE,,,8,0,Pamela Hine,0,T,1345-1645,NLH 112,,-,,,-,,.
BOT,117,1,1,10302,CC:COEVOLUTION PLANTS & PEOPLE,,Y,28,0,Manuel Lizarralde,4,T F,0830-0945,REMOTE,,-,,,-,,.
BOT,207,1,1,10307,SEM: INDIG USE TROP RAINFOREST,,Y,12,0,Manuel Lizarralde,4,R,1345-1645,REMOTE,,-,,,-,,.
BOT,215,1,1,10797,PLANT CELLS AND TISSUES,,,16,0,Page Owen,4,T F,1015-1130,,,-,,,-,,.
BOT,215L,1,1,10798,PLANT CELLS AND TISSUES LAB,,,7,0,Page Owen,0,W,1345-1500,NLH 201,,-,,,-,,.
BOT,215L,2,1,10799,PLANT CELLS AND TISSUES LAB,,,7,0,Page Owen,0,W,1530-1645,NLH 201,,-,,,-,,.
BOT,230,1,1,10309,ECOLOGICAL AGRICULTURE,,,14,0,Eric Vukicevich,4,F,1345-1645,NLH 201,T R,1715-1830,,,-,,.
BOT,234,1,1,10310,S AMER CULTURES & ENVIRONMENT,,Y,24,0,Eric Vukicevich,4,F,1345-1645,,T R,1715-1830,,,-,,.
BOT,493N,1,1,10313,BIOFUELS,,Y,16,0,Rachel Spicer,4,T R,1900-2015,REMOTE,,-,,,-,,.
CHM,100,1,1,10187,CC: CHEMISTRY IN CONTEXT,,,38,0,Emily Tarsis,4,T F,1015-1130,,,-,,,-,,.
CHM,104,1,1,10189,GENERAL CHEMISTRY,,,36,0,Marc Zimmer,5,M WR,0830-0945,,,-,,,-,,.
CHM,104,2,1,10653,GENERAL CHEMISTRY,,,36,0,Stanton Ching,5,T F,0830-0945,,S,1015-1130,,,-,,.
CHM,104L,1,1,10190,GENERAL CHEMISTRY LAB,,,12,0,Vicki Fontneau,0,M,1015-1315,REMOTE,,-,,,-,,.
CHM,104L,2,1,10196,GENERAL CHEMISTRY LAB,,,12,0,Marc Zimmer,0,M,1345-1645,,,-,,,-,,.
CHM,104L,3,1,10197,GENERAL CHEMISTRY LAB,,,12,0,Vicki Fontneau,0,T,1200-1500,REMOTE,,-,,,-,,.
CHM,104L,4,1,10198,GENERAL CHEMISTRY LAB,,,12,0,Bob Kyne,0,T,1715-2015,,,-,,,-,,.
CHM,104L,5,1,10199,GENERAL CHEMISTRY LAB,,,12,0,Vicki Fontneau,0,W,1345-1645,REMOTE,,-,,,-,,.
CHM,104L,6,1,10200,GENERAL CHEMISTRY LAB,,,12,0,Jacob Stewart,0,W,1715-2015,,,-,,,-,,.
CHM,214,1,1,10207,ANALYTICAL CHEMISTRY,,,12,0,Jacob Stewart,4,M R,1200-1315,,,-,,,-,,.
CHM,214L,1,1,10209,ANALYTICAL CHEMISTRY LAB,,,12,0,Jacob Stewart,0,F,1345-1645,,,-,,,-,,.
CHM,224,1,1,10210,ORGANIC CHEMISTRY,,,48,0,Timo Ovaska,5,M R,1015-1130,REMOTE,,-,,,-,,.
CHM,224L,1,1,10211,ORGANIC CHEMISTRY LAB,,,12,0,Emily Tarsis,0,M,1345-1645,,,-,,,-,,.
CHM,224L,2,1,10212,ORGANIC CHEMISTRY LAB,,,12,0,Timo Ovaska,0,T,1345-1645,,,-,,,-,,.
CHM,224L,3,1,10213,ORGANIC CHEMISTRY LAB,,,12,0,Bob Kyne,0,W,1345-1645,,,-,,,-,,.
CHM,224L,4,1,10214,ORGANIC CHEMISTRY LAB,,,12,0,Emily Tarsis,0,R,1715-2015,REMOTE,,-,,,-,,.
CHM,304,1,1,10218,BIOCHEMISTRY,,,24,0,Tanya Schneider,4,T F,0830-0945,REMOTE,,-,,,-,,.
CHM,304L,1,1,10219,BIOCHEMISTRY LAB,,,12,0,Katie Launer-Felty,0,R,1715-2015,,,-,,,-,,.
CHM,304L,2,1,10221,BIOCHEMISTRY LAB,,,12,0,Katie Launer-Felty,0,S,1015-1315,,,-,,,-,,.
CHM,414,1,1,10225,INSTRUMENTAL METH ANALYSIS,,,12,0,Stanton Ching,4,T F,1015-1130,,,-,,,-,,.
CHM,414L,1,1,10226,INSTRUMNT METH OF ANALYSIS LAB,,,12,0,Stanton Ching,0,W,1345-1645,,,-,,,-,,.
CHI,102,1,1,10074,INTENSIVE ELEM CHINESE,,,18,0,Tek-wah King,6,MT RF,0830-0945,,,-,,,-,,.
CHI,202,1,1,10075,INTENSIVE INTERMED CHINESE II,,,18,0,Tek-wah King,5,MT RF,1015-1130,,,-,,,-,,.
CHI,302,1,1,10076,UPPER INTERMED CHINESE,,,18,0,Marilyn Guerrera,4,M W,1715-1830,REMOTE,,-,,,-,,.
CHI,416,1,1,10582,CHINESE FOR THE PROFESSIONS,,,16,0,Marilyn Guerrera,4,M W,1900-2015,REMOTE,,-,,,-,,.
CLA,104,1,1,10041,CC: CLASSICAL MYTHOLOGY,,,38,0,Abbe Walker,4,M R,1345-1500,,,-,,,-,,.
CLA,300,1,1,10042,SELECT TOPICS IN CLASSICS,,,18,0,Tobias Myers,4,T F,0830-0945,REMOTE,,-,,,-,,.
CA,201,1,1,10514,FOUNDATIONS COMMUNITY ACTION,Y,,28,0,Ariella Rotramel Kimberly Sanchez Angela Barney,4,T F,1015-1130,REMOTE,,-,,,-,,.
CA,302,1,2,10513,JR COMMUNITY LEARNING SEM,Y,,28,0,Rebecca McCue Kimberly Sanchez,2,,-,REMOTE,,-,,,-,,.
CA,402,1,3,10512,SR SEM IN COMM ACT/PUB POLICY,Y,,28,0,Audrey Zakriski Rebecca McCue,2,,-,REMOTE,,-,,,-,,.
COM,110,1,1,10185,CC:INTRO COMP SCI & PROB SOLV,,,48,0,Christine Chung,4,M R,1345-1500,REMOTE,,-,,,-,,.
COM,110L,1,1,10186,INTRO COMP SCI/PROB SOLV LAB,,,20,0,Christine Chung,0,W,0930-1130,REMOTE,,-,,,-,,.
COM,110L,2,1,10188,INTRO COMP SCI/PROB SOLV LAB,,,28,0,Christine Chung,0,W,1345-1545,REMOTE,,-,,,-,,.
COM,203,1,1,10165,BIOINFORMATICS,,Y,18,0,Stephen Douglass,4,M R,1345-1500,REMOTE,,-,,,-,,.
COM,212,1,1,10192,DATA STRUCTURES,,,18,0,Gary Parker,4,T F,1015-1130,REMOTE,,-,,,-,,.
COM,212,2,1,10193,DATA STRUCTURES,,,18,0,William Tarimo,4,T F,1200-1315,REMOTE,,-,,,-,,.
